表6　刑事案件嫌疑犯人數－按案類及年齡層別(續1),,,,Table 6. Criminal Cases Offenders - by Classification and Age (Cont.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年別,,總計,竊盜 ,贓物,賭博,傷　害 ,詐欺背信,重利,妨害自由,殺　　人 Homicide,駕駛過失,妨害婚姻及家庭,妨害     風化,妨害性自主罪 ,內亂,恐嚇取財,擄人勒贖,侵占,偽造     文書印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪 ,竊佔,偽造       有價證券,妨害秩序,違反         藥事法,違反國家總動員法,違反      森林法,違反       著作權法,違反      專利法,違反    商標法,公共危險,侵害    墳墓屍體,妨害名譽,違反    選罷法,妨害秘密,遺棄,懲治     走私條例,違反貪汙治罪條例,瀆職,妨害兵役,偽造貨幣,偽造      度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈業刀械管制條例,違反就業服務法,妨害電腦使用(3),其他,暴力犯罪(4)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民國104年 2015,,"269,296","33,913",685,"13,366","13,324","17,888","1,967","6,420",897,"13,295",728,"2,483","3,537",    －,"1,150",33,"3,283","2,531","53,622","2,845","1,277",856,961,69,134,374,    －,562,"2,364",    －,"2,863","70,305",6,"4,030",228,488,107,16,9,76,5,49,    －,45,426,41,51,6,"1,540",11,451,"9,979","2,522"
兒童,Child,478,267,       －,       －,44,7,    －,16,2,22,    －,1,62,    －,11,    －,1,2,2,1,    －,2,    －,    －,    －,    －,    －,    －,2,    －,    －,8,    －,8,    －,1,1,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,3,15,19
少年,Juvenile,"11,002","2,741",35,228,"1,220",806,7,231,65,306,40,40,743,    －,147,1,67,79,"1,939",119,32,49,3,    －,12,10,    －,4,43,    －,38,746,2,131,2,20,2,    －,    －,    －,    －,    －,    －,1,7,1,1,    －,48,    －,27,"1,009",270
青年,Young Adult,"29,284","2,649",39,633,"1,599","4,225",250,643,234,"1,911",96,165,875,    －,247,17,314,227,"7,722",332,184,151,22,22,29,28,    －,30,133,    －,337,"4,138",2,370,13,55,12,    －,1,19,1,4,    －,1,26,5,7,2,246,    －,70,"1,198",591
成年,Adult,"228,510","28,255",611,"12,504","10,460","12,849","1,710","5,530",596,"11,052",592,"2,277","1,857",    －,745,15,"2,901","2,223","43,955","2,393","1,061",654,936,47,93,336,    －,527,"2,186",    －,"2,486","65,408",2,"3,521",213,412,92,16,8,57,4,45,    －,43,393,35,43,4,"1,246",11,351,"7,755","1,642"
不詳,Unknown,22,1,       －,1,1,1,    －,    －,    －,4,    －,    －,    －,    －,    －,    －,    －,    －,4,    －,    －,    －,    －,    －,    －,    －,    －,1,    －,    －,2,5,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,    －,2,     －
民國105年 2016,,"272,817","31,543",251,"11,251","15,086","21,005","1,587","7,442",844,"13,723",773,"1,801","3,415",    －,"1,153",10,"3,716","2,653","58,707","3,396","1,432",806,879,84,144,614,    －,525,"2,438",    －,"2,712","67,654",7,"4,617",723,491,122,26,16,23,5,77,    －,29,428,9,30,11,"1,486",11,410,"8,652","2,208"
兒童,Child,440,230,       －,       －,46,10,    －,3,    －,2,    －,1,75,    －,3,    －,7,    －,    －,10,    －,    －,    －,    －,    －,    －,    －,    －,2,    －,    －,7,    －,9,3,3,2,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,    －,     －,    －,3,24,14
少年,Juvenile,"9,775","2,111",12,106,"1,224",957,17,296,66,299,39,23,662,    －,109,3,59,61,"1,835",123,36,53,    －,3,17,3,    －,4,22,    －,29,611,    －,180,    －,30,4,    －,    －,    －,    －,4,    －,1,6,1,    －,3,30,    －,34,702,218
