type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,104,101,台北市,中山區
住宅竊盜,104,101,新北市,永和區
住宅竊盜,104,101,台東縣,台東市
住宅竊盜,104,101,台北市,文山區
住宅竊盜,104,101,新北市,三重區
住宅竊盜,104,101,新北市,永和區
住宅竊盜,104,101,新北市,三重區
住宅竊盜,104,101,新竹市,北區
住宅竊盜,104,101,嘉義縣,中埔鄉
住宅竊盜,104,101,台北市,文山區
住宅竊盜,104,101,新北市,新店區
住宅竊盜,104,101,桃園市,八德區
住宅竊盜,104,102,彰化縣,二林鎮
住宅竊盜,104,102,雲林縣,麥寮鄉
住宅竊盜,104,102,台中市,北屯區
住宅竊盜,104,102,屏東縣,萬丹鄉
住宅竊盜,104,102,高雄市,內門區
住宅竊盜,104,102,台南市,永康區
住宅竊盜,104,102,南投縣,南投市
住宅竊盜,104,102,新北市,汐止區
住宅竊盜,104,102,新北市,中和區
住宅竊盜,104,102,台北市,萬華區
住宅竊盜,104,102,台北市,萬華區
住宅竊盜,104,102,台北市,士林區
住宅竊盜,104,102,新北市,新莊區
住宅竊盜,104,102,新北市,中和區
住宅竊盜,104,103,新北市,板橋區
住宅竊盜,104,103,南投縣,南投市
住宅竊盜,104,103,花蓮縣,花蓮市
住宅竊盜,104,103,基隆市,暖暖區
住宅竊盜,104,103,新竹市,北區
住宅竊盜,104,103,新北市,板橋區
住宅竊盜,104,103,彰化縣,員林鎮
住宅竊盜,104,103,新北市,新莊區
住宅竊盜,104,103,花蓮縣,吉安鄉
住宅竊盜,104,103,新北市,樹林區
住宅竊盜,104,103,宜蘭縣,五結鄉
住宅竊盜,104,104,新北市,中和區
住宅竊盜,104,104,台北市,信義區
住宅竊盜,104,104,台南市,永康區
住宅竊盜,104,104,新北市,三重區
住宅竊盜,104,104,基隆市,暖暖區
住宅竊盜,104,104,台中市,西屯區
住宅竊盜,104,104,高雄市,茄萣區
住宅竊盜,104,104,高雄市,茂林區
住宅竊盜,104,104,台南市,北區
住宅竊盜,104,104,新北市,板橋區
住宅竊盜,104,104,基隆市,暖暖區
住宅竊盜,104,104,台中市,大肚區
住宅竊盜,104,104,新竹市,北區
住宅竊盜,104,105,雲林縣,口湖鄉
住宅竊盜,104,105,台北市,北投區
住宅竊盜,104,105,台北市,中正區
住宅竊盜,104,105,桃園市,新屋區
住宅竊盜,104,105,台北市,文山區
